ID,Uitkeringen,Perioden,SocialeUitkeringen_1
484,A045130,2020JJ00,330
485,A045130,2021JJ00,350
486,A045126,1995JJ00,2955
487,A045126,1996JJ00,2898
488,A045126,1997JJ00,2832
489,A045126,1998JJ00,2868
490,A045126,1999JJ00,2828
491,A045126,2000JJ00,2911
492,A045126,2001JJ00,3001
493,A045126,2002JJ00,3118
494,A045126,2003JJ00,3199
495,A045126,2004JJ00,3232
496,A045126,2005JJ00,3191
497,A045126,2006JJ00,3263
498,A045126,2007JJ00,3348
499,A045126,2008JJ00,3390
500,A045126,2009JJ00,3401
501,A045126,2010JJ00,3371
502,A045126,2011JJ00,3346
503,A045126,2012JJ00,3236
504,A045126,2013JJ00,3229
505,A045126,2014JJ00,3203
506,A045126,2015JJ00,3216
507,A045126,2016JJ00,3310
508,A045126,2017JJ00,3330
509,A045126,2018JJ00,3349
510,A045126,2019JJ00,3628
511,A045126,2020JJ00,3657
512,A045126,2021JJ00,3680
513,A045141,1995JJ00,282
514,A045141,1996JJ00,211
515,A045141,1997JJ00,223
516,A045141,1998JJ00,241
517,A045141,1999JJ00,257
518,A045141,2000JJ00,270
519,A045141,2001JJ00,280
520,A045141,2002JJ00,323
521,A045141,2003JJ00,331
522,A045141,2004JJ00,335
523,A045141,2005JJ00,343
524,A045141,2006JJ00,346
525,A045141,2007JJ00,358
526,A045141,2008JJ00,371
527,A045141,2009JJ00,390
528,A045141,2010JJ00,378
529,A045141,2011JJ00,399
530,A045141,2012JJ00,395
531,A045141,2013JJ00,405
532,A045141,2014JJ00,418
533,A045141,2015JJ00,420
534,A045141,2016JJ00,444
535,A045141,2017JJ00,455
536,A045141,2018JJ00,456
537,A045141,2019JJ00,467
538,A045141,2020JJ00,480
539,A045141,2021JJ00,514
540,A045150,1995JJ00,0
541,A045150,1996JJ00,0
542,A045150,1997JJ00,0
543,A045150,1998JJ00,0
544,A045150,1999JJ00,0
545,A045150,2000JJ00,0
546,A045150,2001JJ00,0
547,A045150,2002JJ00,43
548,A045150,2003JJ00,85
549,A045150,2004JJ00,99
550,A045150,2005JJ00,111
551,A045150,2006JJ00,158
552,A045150,2007JJ00,175
553,A045150,2008JJ00,203
554,A045150,2009JJ00,221
555,A045150,2010JJ00,234
556,A045150,2011JJ00,228
557,A045150,2012JJ00,218
558,A045150,2013JJ00,239
559,A045150,2014JJ00,223
560,A045150,2015JJ00,236
561,A045150,2016JJ00,246
562,A045150,2017JJ00,249
563,A045150,2018JJ00,258
564,A045150,2019JJ00,273
565,A045150,2020JJ00,287
566,A045150,2021JJ00,300
567,A045146,1995JJ00,270
568,A045146,1996JJ00,172
569,A045146,1997JJ00,207
570,A045146,1998JJ00,210
571,A045146,1999JJ00,263
572,A045146,2000JJ00,307
573,A045146,2001JJ00,307
574,A045146,2002JJ00,260
575,A045146,2003JJ00,152
576,A045146,2004JJ00,115
577,A045146,2005JJ00,90
578,A045146,2006JJ00,81
579,A045146,2007JJ00,108
580,A045146,2008JJ00,117
581,A045146,2009JJ00,134
582,A045146,2010JJ00,115
583,A045146,2011JJ00,101
584,A045146,2012JJ00,81
585,A045146,2013JJ00,76
586,A045146,2014JJ00,209
587,A045146,2015JJ00,349
588,A045146,2016JJ00,342
589,A045146,2017JJ00,326
590,A045146,2018JJ00,264
591,A045146,2019JJ00,273
592,A045146,2020JJ00,253
593,A045146,2021JJ00,287
594,A045123,1995JJ00,349
595,A045123,1996JJ00,348
596,A045123,1997JJ00,340
597,A045123,1998JJ00,346
598,A045123,1999JJ00,358
599,A045123,2000JJ00,356
600,A045123,2001JJ00,368
601,A045123,2002JJ00,386
602,A045123,2003JJ00,383
603,A045123,2004JJ00,384
604,A045123,2005JJ00,353
605,A045123,2006JJ00,346
606,A045123,2007JJ00,347
607,A045123,2008JJ00,338
608,A045123,2009JJ00,331
609,A045123,2010JJ00,326
610,A045123,2011JJ00,311
611,A045123,2012JJ00,301
612,A045123,2013JJ00,303
613,A045123,2014JJ00,279
614,A045123,2015JJ00,267
615,A045123,2016JJ00,258
616,A045123,2017JJ00,248
617,A045123,2018JJ00,235
618,A045123,2019JJ00,222
619,A045123,2020JJ00,208
620,A045123,2021JJ00,193
621,A045129,1995JJ00,4713
622,A045129,1996JJ00,4879
623,A045129,1997JJ00,4718
624,A045129,1998JJ00,4546
625,A045129,1999JJ00,4202
626,A045129,2000JJ00,4097
627,A045129,2001JJ00,4127
628,A045129,2002JJ00,4225
629,A045129,2003JJ00,4458
630,A045129,2004JJ00,4475
631,A045129,2005JJ00,4485
632,A045129,2006JJ00,4377
633,A045129,2007JJ00,4186
634,A045129,2008JJ00,4109
635,A045129,2009JJ00,4336
636,A045129,2010JJ00,4352
637,A045129,2011JJ00,4429
638,A045129,2012JJ00,4955
639,A045129,2013JJ00,5345
640,A045129,2014JJ00,5928
641,A045129,2015JJ00,5789
642,A045129,2016JJ00,6181
643,A045129,2017JJ00,6293
644,A045129,2018JJ00,6089
645,A045129,2019JJ00,5938
646,A045129,2020JJ00,6099
647,A045129,2021JJ00,6138
648,A051746,1995JJ00,0
649,A051746,1996JJ00,0
650,A051746,1997JJ00,0
651,A051746,1998JJ00,0
652,A051746,1999JJ00,0
653,A051746,2000JJ00,0
654,A051746,2001JJ00,0
655,A051746,2002JJ00,0
656,A051746,2003JJ00,0
657,A051746,2004JJ00,0
