"ID","RegioS","Perioden","GrijzeDruk_24"
"10381","GM0321","2023JJ00","31.2"
"10410","GM0803","2023JJ00",
"10439","GM0255","2023JJ00",
"10468","GM0406","2023JJ00","47.2"
"10497","GM0677","2023JJ00","47.4"
"10526","GM0256","2023JJ00",
"10555","GM0925","2023JJ00",
"10584","GM0195","2023JJ00",
"10613","GM0191","2023JJ00",
"10642","GM0353","2023JJ00","33.4"
"10671","GM0645","2023JJ00",
"10700","GM1884","2023JJ00","37.4"
"10729","GM0166","2023JJ00","31.3"
"10758","GM0678","2023JJ00","40.6"
"10787","GM0537","2023JJ00","33.4"
"10816","GM0928","2023JJ00","46.8"
"10845","GM0257","2023JJ00",
"10874","GM0929","2023JJ00",
"10903","GM0258","2023JJ00",
"10932","GM0804","2023JJ00",
"10961","GM1598","2023JJ00","37.6"
"10990","GM0079","2023JJ00",
"11019","GM0588","2023JJ00",
"11048","GM0542","2023JJ00","47.6"
"11077","GM1931","2023JJ00","39.2"
"11106","GM1659","2023JJ00","42.5"
"11135","GM1982","2023JJ00","41.2"
"11164","GM1685","2023JJ00",
"11193","GM0882","2023JJ00","48.3"
"11222","GM0415","2023JJ00","41.7"
"11251","GM0325","2023JJ00",
"11280","GM0416","2023JJ00",
"11309","GM1621","2023JJ00","28.6"
"11338","GM0417","2023JJ00","67.5"
"11367","GM0022","2023JJ00",
"11396","GM0805","2023JJ00",
"11425","GM0545","2023JJ00",
"11454","GM0326","2023JJ00",
"11483","GM0080","2023JJ00","32.4"
"11512","GM0081","2023JJ00",
"11541","GM0546","2023JJ00","24.4"
"11570","GM0547","2023JJ00","42"
"11599","GM0548","2023JJ00",
"11628","GM1916","2023JJ00","41.9"
"11657","GM0995","2023JJ00","31"
"11686","GM0082","2023JJ00",
"11715","GM1640","2023JJ00","46.2"
"11744","GM0327","2023JJ00","42.5"
"11773","GM0260","2023JJ00",
"11802","GM1673","2023JJ00",
"11831","GM0806","2023JJ00",
"11860","GM0261","2023JJ00",
"11889","GM0552","2023JJ00",
"11918","GM0807","2023JJ00",
"11947","GM0694","2023JJ00",
"11976","GM0418","2023JJ00",
"12005","GM0733","2023JJ00",
"12034","GM1705","2023JJ00","42.4"
"12063","GM0553","2023JJ00","42.7"
"12092","GM0808","2023JJ00",
"12121","GM0140","2023JJ00",
"12150","GM0262","2023JJ00","57.1"
"12179","GM0329","2023JJ00",
"12208","GM0809","2023JJ00","42.1"
"12237","GM0330","2023JJ00",
"12266","GM0331","2023JJ00","31.6"
"12295","GM0024","2023JJ00",
"12324","GM0168","2023JJ00","45.7"
"12353","GM0810","2023JJ00",
"12382","GM0811","2023JJ00",
"12411","GM0332","2023JJ00",
"12440","GM0333","2023JJ00",
"12469","GM0334","2023JJ00",
"12498","GM0933","2023JJ00",
"12527","GM0934","2023JJ00",
"12556","GM1671","2023JJ00",
"12585","GM0263","2023JJ00","33.6"
"12614","GM1641","2023JJ00","50.9"
"12643","GM1991","2023JJ00","39.9"
"12672","GM0555","2023JJ00",
"12701","GM0556","2023JJ00","41.2"
"12730","GM0935","2023JJ00","36.7"
"12759","GM1665","2023JJ00",
"12788","GM0812","2023JJ00",
"12817","GM0936","2023JJ00",
"12846","GM0686","2023JJ00",
"12875","GM0169","2023JJ00",
"12904","GM1663","2023JJ00",
"12933","GM0025","2023JJ00",
"12962","GM0264","2023JJ00",
"12991","GM0420","2023JJ00","39.9"
"13020","GM0993","2023JJ00",
"13049","GM0938","2023JJ00","51.3"
"13078","GM1948","2023JJ00","38"
"13107","GM0941","2023JJ00",
"13136","GM0083","2023JJ00",
"13165","GM1908","2023JJ00",
"13194","GM1987","2023JJ00",
"13223","GM0119","2023JJ00","36"
"13252","GM0687","2023JJ00","41.4"
"13281","GM0559","2023JJ00",
"13310","GM1842","2023JJ00","37"
"13339","GM1731","2023JJ00","45.4"
"13368","GM1952","2023JJ00","40.6"
"13397","GM0688","2023JJ00",
"13426","GM1697","2023JJ00",
"13455","GM0814","2023JJ00",
"13484","GM0815","2023JJ00",
"13513","GM0265","2023JJ00",
"13542","GM1709","2023JJ00","39.5"
"13571","GM0816","2023JJ00",
"13600","GM1978","2023JJ00","35.3"
"13629","GM1927","2023JJ00",
"13658","GM0562","2023JJ00",
"13687","GM1955","2023JJ00","43.3"
"13716","GM0335","2023JJ00","37"
"13745","GM0944","2023JJ00","52.1"
"13774","GM0563","2023JJ00",
"13803","GM0424","2023JJ00",
"13832","GM0565","2023JJ00",
"13861","GM0425","2023JJ00",
"13890","GM1740","2023JJ00","31.8"
"13919","GM0426","2023JJ00",
"13948","GM0643","2023JJ00",
"13977","GM0946","2023JJ00","43.2"
"14006","GM0266","2023JJ00",
"14035","GM0304","2023JJ00",
"14064","GM0412","2023JJ00",
"14093","GM0356","2023JJ00","36.7"
"14122","GM0567","2023JJ00",
"14151","GM0817","2023JJ00",
"14180","GM0569","2023JJ00","37.8"
"14209","GM0571","2023JJ00",
"14238","GM0170","2023JJ00",
"14267","GM0818","2023JJ00",
"14296","GM0104","2023JJ00",
"14325","GM0121","2023JJ00",
"14354","GM0267","2023JJ00","34.5"
"14383","GM0268","2023JJ00","25.9"
"14412","GM1930","2023JJ00","36.9"
"14441","GM1970","2023JJ00","40.3"
"14470","GM1695","2023JJ00","55.2"
"14499","GM1699","2023JJ00","55"
"14528","GM0529","2023JJ00",
"14557","GM0171","2023JJ00","32.2"
"14586","GM0575","2023JJ00","40.2"
"14615","GM0576","2023JJ00",
"14644","GM0577","2023JJ00",
"14673","GM0120","2023JJ00",
"14702","GM0820","2023JJ00","50"
"14731","GM0302","2023JJ00","39.5"
"14760","GM0951","2023JJ00",
"14789","GM0429","2023JJ00",
"14818","GM0122","2023JJ00",
"14847","GM0579","2023JJ00","38.7"
"14876","GM0823","2023JJ00","41.6"
"14905","GM0824","2023JJ00","45.6"
"14934","GM1895","2023JJ00","46"
"14963","GM0269","2023JJ00","35.7"
"14992","GM0173","2023JJ00","45.2"
"15021","GM0174","2023JJ00",
"15050","GM1773","2023JJ00","40.9"
"15079","GM0175","2023JJ00","43"
"15108","GM0881","2023JJ00",
"15137","GM1586","2023JJ00","42.6"
"15166","GM0825","2023JJ00",
"15195","GM0692","2023JJ00",
