"ID";"RegioS";"Perioden";"BbpVolumemutaties_3"
"404";"PV28    ";"2021JJ00";"4.3"
"405";"PV29    ";"1995JJ00";
"406";"PV29    ";"1996JJ00";"-0.6"
"407";"PV29    ";"1997JJ00";"0.3"
"408";"PV29    ";"1998JJ00";"3"
"409";"PV29    ";"1999JJ00";"3.7"
"410";"PV29    ";"2000JJ00";"4"
"411";"PV29    ";"2001JJ00";"1.9"
"412";"PV29    ";"2002JJ00";"3.9"
"413";"PV29    ";"2003JJ00";"2.4"
"414";"PV29    ";"2004JJ00";"1.5"
"415";"PV29    ";"2005JJ00";"0.8"
"416";"PV29    ";"2006JJ00";"1.2"
"417";"PV29    ";"2007JJ00";"8.2"
"418";"PV29    ";"2008JJ00";"4.8"
"419";"PV29    ";"2009JJ00";"-7.6"
"420";"PV29    ";"2010JJ00";"6.2"
"421";"PV29    ";"2011JJ00";"2.9"
"422";"PV29    ";"2012JJ00";"-1.8"
"423";"PV29    ";"2013JJ00";"-1"
"424";"PV29    ";"2014JJ00";"1.9"
"425";"PV29    ";"2015JJ00";"2.6"
"426";"PV29    ";"2016JJ00";"1.4"
"427";"PV29    ";"2017JJ00";"1.2"
"428";"PV29    ";"2018JJ00";"2.9"
"429";"PV29    ";"2019JJ00";"-0.7"
"430";"PV29    ";"2020JJ00";"-0.1"
"431";"PV29    ";"2021JJ00";"4.7"
"432";"PV30    ";"1995JJ00";
"433";"PV30    ";"1996JJ00";"4.1"
"434";"PV30    ";"1997JJ00";"4.9"
"435";"PV30    ";"1998JJ00";"3.2"
"436";"PV30    ";"1999JJ00";"6.9"
"437";"PV30    ";"2000JJ00";"5.4"
"438";"PV30    ";"2001JJ00";"2.3"
"439";"PV30    ";"2002JJ00";"-1.4"
"440";"PV30    ";"2003JJ00";"0.2"
"441";"PV30    ";"2004JJ00";"2.4"
"442";"PV30    ";"2005JJ00";"2.9"
"443";"PV30    ";"2006JJ00";"3.6"
"444";"PV30    ";"2007JJ00";"2.7"
"445";"PV30    ";"2008JJ00";"2.4"
"446";"PV30    ";"2009JJ00";"-3.3"
"447";"PV30    ";"2010JJ00";"2.3"
"448";"PV30    ";"2011JJ00";"3.1"
"449";"PV30    ";"2012JJ00";"-0.4"
"450";"PV30    ";"2013JJ00";"-0.9"
"451";"PV30    ";"2014JJ00";"2.3"
"452";"PV30    ";"2015JJ00";"3.4"
"453";"PV30    ";"2016JJ00";"2.2"
"454";"PV30    ";"2017JJ00";"4.1"
"455";"PV30    ";"2018JJ00";"2.3"
"456";"PV30    ";"2019JJ00";"1.8"
