"ID";"RegioS";"Jaar";"Grijze Druk"
"440";"PV30  ";"2000JJ00";"20.4"
"441";"PV30  ";"2001JJ00";"20.7"
"442";"PV30  ";"2002JJ00";"21.1"
"443";"PV30  ";"2003JJ00";"21.5"
"444";"PV30  ";"2004JJ00";"22"
"445";"PV30  ";"2005JJ00";"22.5"
"446";"PV30  ";"2006JJ00";"23.1"
"447";"PV30  ";"2007JJ00";"23.7"
"448";"PV30  ";"2008JJ00";"24.3"
"449";"PV30  ";"2009JJ00";"25"
"450";"PV30  ";"2010JJ00";"25.7"
"451";"PV30  ";"2011JJ00";"26.5"
"452";"PV30  ";"2012JJ00";"27.8"
"453";"PV30  ";"2013JJ00";"29"
"454";"PV30  ";"2014JJ00";"30.1"
"455";"PV30  ";"2015JJ00";"31.1"
"456";"PV30  ";"2016JJ00";"32"
"457";"PV30  ";"2017JJ00";"32.7"
"458";"PV30  ";"2018JJ00";"33.5"
"459";"PV30  ";"2019JJ00";"34"
"460";"PV30  ";"2020JJ00";"34.6"
"461";"PV30  ";"2021JJ00";"35.1"
"462";"PV30  ";"2022JJ00";"35.6"
"463";"PV30  ";"2023JJ00";"35.9"
"464";"PV31  ";"1995JJ00";"20.9"
"465";"PV31  ";"1996JJ00";"21.4"
"466";"PV31  ";"1997JJ00";"21.8"
"467";"PV31  ";"1998JJ00";"22.3"
"468";"PV31  ";"1999JJ00";"22.8"
"469";"PV31  ";"2000JJ00";"23.2"
"470";"PV31  ";"2001JJ00";"23.6"
"471";"PV31  ";"2002JJ00";"24.1"
"472";"PV31  ";"2003JJ00";"24.6"
"473";"PV31  ";"2004JJ00";"25.2"
"474";"PV31  ";"2005JJ00";"25.9"
"475";"PV31  ";"2006JJ00";"26.6"
"476";"PV31  ";"2007JJ00";"27.3"
"477";"PV31  ";"2008JJ00";"28.1"
"478";"PV31  ";"2009JJ00";"28.8"
"479";"PV31  ";"2010JJ00";"29.6"
"480";"PV31  ";"2011JJ00";"30.5"
"481";"PV31  ";"2012JJ00";"31.8"
"482";"PV31  ";"2013JJ00";"33.1"
"483";"PV31  ";"2014JJ00";"34.4"
"484";"PV31  ";"2015JJ00";"35.8"
"485";"PV31  ";"2016JJ00";"36.9"
"486";"PV31  ";"2017JJ00";"38"
"487";"PV31  ";"2018JJ00";"39.2"
"488";"PV31  ";"2019JJ00";"40.4"
"489";"PV31  ";"2020JJ00";"41.4"
"490";"PV31  ";"2021JJ00";"42.2"
"491";"PV31  ";"2022JJ00";"43"
"492";"PV31  ";"2023JJ00";"43.7"
"493";"CR01  ";"1995JJ00";"26.7"
"494";"CR01  ";"1996JJ00";"26.9"
"495";"CR01  ";"1997JJ00";"26.9"
"496";"CR01  ";"1998JJ00";"27.1"
